image_name,question,question_type,answer
synpic29265.jpg,Are the lungs normal appearing?,ABN,No
synpic29265.jpg,Is there evidence of a pneumothorax,PRES,No
synpic28602.jpg,What type of imaging does this not represent?,MODALITY,ultrasound
synpic29265.jpg,Is this a MRI of the chest?,MODALITY,no
synpic28602.jpg,What is not pictured in this image?,ORGAN,The extremities
synpic28602.jpg,Is the trachea midline?,PRES,yes
synpic28602.jpg,Is there evidence of an aortic aneurysm?,PRES,No
synpic28602.jpg,Is there blunting of the costovertebral angles?,PRES,No
synpic42202.jpg,Which organ system is abnormal in this image?,ORGAN,Cardiovascular
synpic42202.jpg,Is there a pneumothorax?,PRES,no
synpic29265.jpg,Is there a fracture?,PRES,no
synpic28602.jpg,Is this an anterior posterior image?,PLANE,no
synpic29265.jpg,Is there air under the diaphragm?,PRES,No
synpic42202.jpg,What type of image is this?,MODALITY,Chest X-ray
synpic42202.jpg,Is this an anterior-posterior image,PLANE,no
synpic21776.jpg,Are there >12 of ribs? ,COUNT,Yes
synpic21776.jpg,Is/Are the lungs normal size?,SIZE,Yes
synpic25821.jpg,Is/Are there a rib fracture?,PRES,No
synpic25821.jpg,Is/Are there fracturing in the patient's ribs?,PRES,No
synpic25821.jpg,Is/Are the lung parenchyma abnormal?,ABN,No
synpic25821.jpg,Is/Are the lung parenchyma abnormal?,ABN,No
synpic21776.jpg,was this taken with good x ray penetration,MODALITY,yes
synpic25821.jpg,Are there >8 ribs shown in this image?,COUNT,Yes
synpic25821.jpg,Are there >8 of the ribs?,COUNT,Yes
synpic25821.jpg,Are there at least 8 ribs visible for good inspiratory effort?,COUNT,Yes
synpic25821.jpg,Are there at least 8 of the ribs?,COUNT,Yes
synpic21776.jpg,was this taken in PA position?,PLANE,yes
synpic42245.jpg,Are the hilar soft tissue densities symmetric?,ATTRIB,no
synpic42245.jpg,Is/Are there symmetry in the patient's hilums?,ATTRIB,no
synpic42245.jpg,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,SIZE,no
synpic42245.jpg,Is/Are there equivalent size tissues densities in the patient's hilums?,SIZE,no
synpic16174.jpg,Is the descending aortic silhouette of normal contour?,ATTRIB,Yes
synpic16174.jpg,Is the descending aortic silhouette of normal contour and size?,"ATTRIB, SIZE",Yes
synpic16174.jpg,Is there tortuosity of the descending aorta?,PRES,Yes
synpic16174.jpg,Is/Are there tortuosity in the patient's aorta?,PRES,Yes
synpic16174.jpg,Is the descending aortic silhouette of normal size?,PRES,Yes
synpic16174.jpg,Is/Are there tortuosity in the patient's aorta?,PRES,Yes
synpic16174.jpg,Is the descending aortic silhouette of normal size?,SIZE,Yes
synpic40272.jpg,was this chest x ray taken in PA format?,PLANE,yes
synpic21776.jpg,Are lung opacities noted?,PRES,No
synpic21776.jpg,Is/Are there nodules in the patient's lung?,PRES,No
synpic21776.jpg,is there evidence of intraparenchymal lung nodules?,PRES,No
synpic21776.jpg,Is/Are there nodules in the patient's lung?,PRES,No
synpic16174.jpg,Is/Are the heart size normal?,SIZE,Yes
synpic16174.jpg,Is/Are the heart size normal?,SIZE,Yes
synpic52767.jpg,Is there evidence of a right apical pneumothorax on this chest x-ray?,PRES,Yes
synpic52767.jpg,Is/Are there a pneumothorax in the patient's right lung?,PRES,Yes
synpic52767.jpg,Is a pneumothorax present near the right lung field?,PRES,Yes
synpic52767.jpg,Is/Are there a pneumothorax in the patient's right lung?,PRES,Yes
synpic21776.jpg,Is/Are the heart narrowed?,SIZE,Yes
synpic21776.jpg,Is/Are the heart narrowed?,SIZE,Yes
synpic42245.jpg,Are there any fractures in any of the ribs?,PRES,No
synpic42245.jpg,Is/Are there fractures in the patient's ribs?,PRES,No
synpic42245.jpg,Are any of the patient's ribs fractured?,PRES,No
synpic42245.jpg,Is/Are there fractures in the patient's ribs?,PRES,No
synpic40272.jpg,Is there pulmonary edema,PRES,no
synpic40272.jpg,Is/Are the pulmonary vessels enlarged?,SIZE,no
synpic52767.jpg,Is/Are the cardiac contour normal?,ATTRIB,Yes
synpic40272.jpg,is it difficult to delineate the left costophrenic angle?,PRES,yes
synpic40272.jpg,Is/Are there blunting in the patient's left costophrenic angle?,PRES,yes
synpic40272.jpg,Is there blunting of the left costophrenic angle?,PRES,yes
synpic40272.jpg,Is/Are there blunting in the patient's left costophrenic angle?,PRES,yes
synpic33422.jpg,Is/Are there pneumothorax in the patient's left lung field?,PRES,Yes
synpic33422.jpg,Is/Are there pneumothorax in the patient's left lung field?,PRES,Yes
synpic33422.jpg,Is/Are there midline shift?,PRES,No
synpic33422.jpg,Is/Are there midline shift?,PRES,No
synpic40272.jpg,Is/Are the left lung radioopaque?,COLOR,yes
synpic40272.jpg,Is/Are the left lung radioopaque?,COLOR,yes
synpic42245.jpg,Are the costophrenic angles sharp?,PRES,yes
synpic42245.jpg,Is/Are there no blunting in the patient's costophrenic angles?,PRES,yes
synpic42245.jpg,Is there no evidence of blunting of the costophrenic angles?,PRES,yes
synpic42245.jpg,Is/Are there no blunting in the patient's costophrenic angles?,PRES,yes
synpic21776.jpg,is the lung parenchyma well visualized?,PRES,yes
synpic40272.jpg,are the heart and lungs displayed well in this film,ORGAN,yes
synpic18319.jpg,What is/are the abnormalities  near/in the lung?,ABN,Pulmonary nodules
synpic18319.jpg,What is/are the abnormalities  near/in the lung?,ABN,Pulmonary nodules
synpic32933.jpg,What is/are the hypointensity near/in the R hemidiaphragm?,PRES,Free air
synpic32933.jpg,What is/are the hypointensity near/in the R hemidiaphragm?,PRES,Free air
synpic31400.jpg,Any abnormal findings in the lower lung fields?,ABN,no
synpic31400.jpg,Is/Are there abnormalities in the patient's lower lung?,ABN,no
synpic31400.jpg,Are the lower lung fields normal?,ABN,yes
synpic31400.jpg,Is/Are there abnormalities in the patient's lower lung?,ABN,yes
synpic32933.jpg,Is the left hemidiaphragm normal?,ABN,Yes
synpic32933.jpg,Is this image normal?,ABN,Yes
synpic32933.jpg,Is the left hemidiaphragm normal?,ABN,Yes
synpic32933.jpg,Is this image normal?,ABN,Yes
synpic49914.jpg,Is this a chest x-ray?,MODALITY,yes
synpic18461.jpg,What kind of image is this?,MODALITY,Chest x-ray
synpic31400.jpg,where is the cavitary lesion?,POS,Right upper lobe
synpic31400.jpg,Where is/are the cavitary lesion located?,POS,Right upper lobe
synpic31400.jpg,where is the abnormality?,POS,Right upper lobe
synpic31400.jpg,Where is/are the cavitary lesion located?,POS,Right upper lobe
synpic18461.jpg,What organ is primarily evaluated in this image?,ORGAN,Lungs
synpic18461.jpg,Is this a lateral film?,PLANE,no
synpic31400.jpg,Which organ system is imaged?,ORGAN,Chest
synpic49914.jpg,Is this a study of the chest?,ORGAN,yes
synpic21044.jpg,What is abnormal about the hila?,ATTRIB,Enlarged
synpic21044.jpg,How would you describe the hila?,ATTRIB,Enlarged
synpic21044.jpg,Is the hila normal or enlarged?,ATTRIB,Enlarged
synpic49914.jpg,What is happening in the right lung?,ABN,Volume loss
synpic49914.jpg,What is/are abnormal right lung ?,ABN,Volume loss
synpic49914.jpg,What is finding in the right lung?,ABN,Volume loss
synpic49914.jpg,What is/are abnormal right lung ?,ABN,Volume loss
synpic18461.jpg,Are the lungs normal?,ABN,No
synpic18461.jpg,Is/Are the lung normal?,ABN,No
synpic18461.jpg,Is the chest x-ray normal?,ABN,No
synpic18461.jpg,Is this image normal?,ABN,No
synpic31400.jpg,What is/are the abnormalities near/in the lung apices?,ABN,Nodular opacities
synpic31400.jpg,What is/are the abnormalities near/in the lung apices?,ABN,Nodular opacities
synpic18319.jpg,What can cause asymmetrical breasts?,OTHER,Prior surgery
synpic18319.jpg,Why are the breasts asymmetrical?,OTHER,Prior surgery
synpic49914.jpg,Is/Are the lung normal?,ABN,No
synpic49914.jpg,Is this image normal?,ABN,No
synpic21044.jpg,How would you describe the aortopulmonary window?,ATTRIB,middle mogul
synpic21044.jpg,What is/are the characteristic finding near/in the aortopulmonary window?,PRES,middle mogul
synpic21044.jpg,What is/are the sign near/in the aortopulmonary window?,PRES,middle mogul
synpic49914.jpg,Where is/are the abnormality located?,POS,Right lung
synpic49914.jpg,Where is/are the abnormality located?,POS,Right lung
synpic32933.jpg,Is this image normal?,ABN,No
synpic32933.jpg, Is/Are the right hemidiaphragm normal?,ABN,No
synpic18319.jpg,Where is the catheter tip located?,POS,Right superior cavoatrial junction
synpic18319.jpg,Where is/are the catheter tip located?,POS,Right superior cavoatrial junction
synpic18319.jpg,Where does the catheter tip extend into?,POS,Right superior cavoatrial junction
synpic18319.jpg,Where is/are the catheter tip located?,POS,Right superior cavoatrial junction
synpic21044.jpg,Is the heart abnormal?,ABN,Yes
synpic21044.jpg,Does the heart appear enlarged?,SIZE,Yes
synpic21044.jpg,Is/Are the heart enlarged? -yes/no,SIZE,Yes
synpic24390.jpg,How was this x-ray taken?,PLANE,PA
synpic23803.jpg,Which ribs are located near the abnormality seen in this image?,POS,4th and 5th
synpic23803.jpg,What level is the abnormality located at?,POS,T5
synpic39532.jpg,Is/Are there a pneumothorax present?,PRES,No
synpic17664.jpg,Do the lung markings extend to the periphery?,PRES,Yes
synpic17664.jpg,Is a pneumothorax present in this image?,PRES,No
synpic47783.jpg,Does the width of the heart exceed more than half of the thorax?,SIZE,No
synpic47783.jpg,How wide is/are the cardiac shadow? -open,SIZE,No
synpic47783.jpg,How wide is the cardiac shadow?,SIZE,Less than half the thorax
synpic47783.jpg,How wide is/are the cardiac shadow? -open,SIZE,Less than half the thorax
synpic31955.jpg,Is the diaphragm obscured?,PRES,No
synpic31955.jpg,Is/Are the diaphragm obscured?,PRES,No
synpic31955.jpg,Is the diaphragm clearly visualized on both sides?,PRES,Yes
synpic31955.jpg,Is/Are the diaphragm visualized?,PRES,Yes
synpic45557.jpg,Are nodular calcifications present in the lungs?,PRES,No
synpic45557.jpg,What lesions are present in the lungs?,PRES,None
synpic34449.jpg,Are the calcifications superior or inferior to the diaphragm?,POS,Superior
synpic34449.jpg,Where in the image are the calcifications located?,POS,High on the image
synpic31962.jpg,Where is the aortic arch?,POS,Right side
synpic31962.jpg,Where is/are the aortic arch located?,POS,Right side
synpic31962.jpg,Which side of the image is the aortic arch visualized?,POS,Right side
synpic31962.jpg,Where is/are the aortic arch located?,POS,Right side
synpic19477.jpg,Where is the lung lesion located?,POS,Right lung
synpic19477.jpg,Where is/are the lung lesion located?,POS,Right lung
synpic19477.jpg,Which lobe of the lung is the lesion located in?,POS,Right upper lobe
synpic19477.jpg,Where is/are the lung lesion located?,POS,Right upper lobe
synpic45557.jpg,Do bones appear lighter on this image's modality?,MODALITY,yes
synpic39532.jpg,How many lesions are present in the image?,COUNT,One
synpic39532.jpg,How many lesions are present/visualized in the image?,COUNT,One
synpic39532.jpg,Is there more that one lesion present?,COUNT,No
synpic39532.jpg,Is/Are there more than one lesion present?,COUNT,No
synpic34449.jpg,What are the two major organs present in this image?,ORGAN,Heart 	lungs
synpic17664.jpg,Is/Are the diaphragm visualized?,PRES,Yes
synpic17664.jpg,Is/Are the diaphragm obscured?,PRES,No
synpic24390.jpg,Is/Are the heart wider than more than half the width of the thorax?,SIZE,No
synpic24390.jpg,How wide is/are the heart compared to the thorax? -open,SIZE,It is less than half the width of the thorax
synpic23803.jpg,Is/Are the free air under the left hemidiaphragm  pathologic?,PRES,No
synpic23803.jpg,Is/Are the free air under the left hemidiaphragm  pathologic?,PRES,No
synpic34449.jpg,Is this an AP image?,PLANE,no
synpic19782.jpg,Are calcified lesions present in the lung fields?,PRES,No
synpic19782.jpg,Is there evidence of large calcified lesions in the lung fields?,PRES,No
synpic19782.jpg,Is/Are there calcified lesions in the patient's lung fields?,PRES,No
synpic19782.jpg,Where is/are the free air located?,POS,Above the clavicles bilaterally
synpic19782.jpg,Is/Are there free air in the patient's supraclavicular fossae?,PRES,Yes
synpic23053.jpg,Is the air under the left hemidiaphragm pathologic?,ABN,No
synpic23053.jpg,Is/Are the air under the left hemidiaphragm pathologic?,ABN,No
synpic23053.jpg,Is there free air under the left diaphragm?,PRES,No
synpic23053.jpg,Is/Are there free air in the patient's subdiaphram?,PRES,No
synpic24390.jpg,Is this image of the thorax?,ORGAN,yes
synpic39532.jpg,Where is the lesion?,POS,Right lower lobe
synpic39532.jpg,Where is/are the lesion located?,POS,Right lower lobe
synpic39532.jpg,Which lung lobe is the lesion present in?,POS,Right lower lobe
synpic39532.jpg,Where is/are the lesion located?,POS,Right lower lobe
synpic47783.jpg,Where is the aneurysm located?,POS,In the thorasic aorta
synpic47783.jpg,Where is/are the aneurysm located?,POS,In the thorasic aorta
synpic47783.jpg,What is the most important abnormality found in this image?,PRES,Width of aorta
synpic19477.jpg,At which rib is the lesion located?,POS,7th rib
synpic19477.jpg,What rib is the lesion located inferior to?,POS,7th rib
synpic23803.jpg,On which side is the cardiac border more obscured?,POS,Right
synpic23803.jpg,Where is the cardiac border more obscured?,POS,Right
synpic19477.jpg,Which side of the cardiac border is more prominent?,POS,Left
synpic19477.jpg,Which cardiac border is more prominently visualized?,POS,Left
synpic24390.jpg,Is this image a CT scan?,MODALITY,no
synpic13385.jpg,Which lung has more extensive infiltration?,POS,Left
synpic13385.jpg,Where is/are the most infiltrates  located?,POS,Left
synpic13385.jpg,Where are the most infiltrates located?,POS,Left lung
synpic13385.jpg,Where is/are the most infiltrates  located?,POS,Left lung
synpic24390.jpg,Is the largest air collection on the patient's left or the right side?,POS,Right side
synpic24390.jpg,Where is the largest air collection in this image?,POS,Right lung base
synpic31955.jpg,Where is the lesion located?,POS,Anterior mediastinum
synpic31955.jpg,Where is/are the lesion located?,POS,Anterior mediastinum
synpic31955.jpg,What is the location of the primary lesion?,POS,Right lung hilum
synpic31955.jpg,Where is/are the lesion located?,POS,Right lung hilum
synpic13385.jpg,Is the air under the left hemidiaphragm pathologic?,ABN,No
synpic13385.jpg,Is/Are the air under the left hemidiaphragm pathologic?,ABN,No
synpic13385.jpg,Is subdiaphragmatic air present on the left side?,PRES,No
synpic13385.jpg,Is/Are there subdiaphragmatic air in the patient's left side? ,PRES,No
synpic47783.jpg,Is there a mass in the right hilum?,PRES,No
synpic47783.jpg,Is/Are there a mass in the patient's right hilum?,PRES,No
synpic47783.jpg,Is there evidence of a mass lesion at the right hilum?,PRES,No
synpic47783.jpg,Is/Are there a mass in the patient's right hilum?,PRES,No
synpic31962.jpg,Is there a fracture on the left 5th rib?,PRES,No
synpic31962.jpg,Is/Are there fracture in the patient's 5th rib?,PRES,No
synpic31962.jpg,Is the left fifth rib broken?,PRES,No
synpic31962.jpg,Is/Are there fracture in the patient's 5th rib?,PRES,No
synpic24390.jpg,Is subcutaneous air present?,PRES,No
synpic24390.jpg,Is/Are there subcutaneous air present?,PRES,No
synpic24390.jpg,Is there evidence of subcutaneous air collection?,PRES,No
synpic24390.jpg,Is/Are there subcutaneous air present?,PRES,No
synpic45557.jpg,Are any ribs in the image fractured?,PRES,No
synpic45557.jpg,Is/Are there fracture in the patient's  ribs?,PRES,No
synpic45557.jpg,Are there any fractures present?,PRES,No
synpic45557.jpg,Is/Are there any fractures present?,PRES,No
synpic34449.jpg,Where is/are the subcutaneous air collection? ,POS,On the right shoulder.
synpic34449.jpg,Is/Are there subcutaneous air present in the patient's right neck?,PRES,Yes
synpic23053.jpg,Is the opacity near the left lung apex pathologic?,ABN,No
synpic23053.jpg,Is/Are the opacity near the left lung apex pathologic?,ABN,No
synpic23053.jpg,What is the opacity near the left lung apex?,PRES,Pacemaker
synpic23053.jpg,What is/are the opacity near/in the left lung apex? ,PRES,Pacemaker
synpic13385.jpg,What is/are the that near/in the left apex?,PRES,A bullous lesion
synpic13385.jpg,Is/Are there a pneumonthorax in the patient's left apex?,PRES,No
synpic31955.jpg,Where is/are the lesion located?,POS,Anterior mediastinum
synpic34449.jpg,How was this image taken?,MODALITY,X-ray
synpic23053.jpg,Where is the lesion?,POS,In the right hilum
synpic23053.jpg,Where is/are the lesion located?,POS,In the right hilum
synpic23053.jpg,Which lobe is the lesion located in?,POS,Upper right lobe
synpic23053.jpg,Where is/are the lesion located?,POS,Upper right lobe
synpic31962.jpg,Is there any inappropriate air collection in subcutaneous tissue?,PRES,No
synpic31962.jpg,Is/Are there subcutaneous air present?,PRES,No
synpic31962.jpg,Is subcutaneous air present?,PRES,No
synpic31962.jpg,Is/Are there subcutaneous air present?,PRES,No
synpic45557.jpg,Where on the image is most obscured?,POS,Right lung base
synpic45557.jpg,Is the costophrenic angle blunted?,"PRES, ATTRIB",Yes
synpic45557.jpg,Is/Are the costophrenic angle blunted? -yes/no,"PRES, ATTRIB",Yes
synpic31916.jpg,Is this film properly exposed?,MODALITY,yes
synpic24538.jpg,Is the heart dilated?,SIZE,No
synpic52951.jpg,In which lobe is the nodule located?,POS,Left upper lobe
synpic19118.jpg,Are these small opacities in the right lung calcifications?,PRES,No
synpic52951.jpg,Is there any shifting on the path of the trachea?,PRES,No
synpic52951.jpg,What is the organ principally shown in this image?,ORGAN,Lung
synpic31916.jpg,What is the name of this image's plane?,PLANE,Posteroanterior
synpic52951.jpg,Is this a solitary nodule?,PRES,Yes
synpic31916.jpg,Is the right lung normal in size?,SIZE,No
synpic19118.jpg,Is this a cyst in the left lung?,POS,No
synpic31916.jpg,What is happening with the path of the trachea?,ABN,It is shifted to the right
synpic31916.jpg,Is the stomach dilated?,SIZE,no
synpic31916.jpg,How do we call these wide undulations along the vertebral column?,OTHER,Scoliosis
synpic24538.jpg,To which side is the trachea deviated?,POS,Right
synpic33226.jpg,Is the heart a normal size?,SIZE,Yes
synpic33226.jpg,Is/Are the heart size normal?,SIZE,Yes
synpic33226.jpg,Is the heart size normal?,SIZE,Yes
synpic33226.jpg,Is/Are the heart size normal?,SIZE,Yes
synpic50943.jpg,Can a pulmonary mass be appreciated?,PRES,no
synpic50943.jpg,Is a pulmonary mass present?,PRES,no
synpic44865.jpg,Is this a solid or cystic lesion?,ATTRIB,Solid
synpic44865.jpg,Is the lesion a solid or cystic lesion?,ATTRIB,Solid
synpic16810.jpg,Is this in the PA plane?,PLANE,yes
synpic50943.jpg,Is there anything abnormal about the heart size?,SIZE,Yes
synpic50943.jpg,Is the heart enlarged?,SIZE,Yes
synpic50943.jpg,Is/Are the heart enlarged?,SIZE,Yes
synpic28378.jpg,Is this patient male or female?,OTHER,Female
synpic28378.jpg,What is the likely sex of this patient?,OTHER,Female
synpic33226.jpg,Can this image highlight bone fractures (if present)?,MODALITY,yes
synpic60423.jpg,Can you appreciate a pleural effusion?,PRES,no
synpic60423.jpg,Is/Are there a pleural effusion?,PRES,no
synpic60423.jpg,Is a pleural effusion present?,PRES,no
synpic60423.jpg,Is/Are there a pleural effusion?,PRES,no
synpic60423.jpg,Is the heart enlarged?,SIZE,No
synpic60423.jpg,Is/Are the heart enlarged?,SIZE,No
synpic60423.jpg,Is the heart size increased?,SIZE,No
synpic60423.jpg,Is/Are the heart enlarged?,SIZE,No
synpic27402.jpg,Is this image sufficient for a diagnosis?,OTHER,No
synpic27402.jpg,Is the image enough to diagnose?,OTHER,No
synpic50943.jpg,Is there a right-sided pleural effusion?,PRES,no
synpic50943.jpg,Is/Are there a pleural effusion?,PRES,no
synpic50943.jpg,Is there an effusion present on the right-side?,PRES,no
synpic50943.jpg,Is/Are there a pleural effusion?,PRES,no
synpic16810.jpg,Do you see a pleural effusion?,PRES,No
synpic16810.jpg,Is/Are there a Pleural effusion?,PRES,No
synpic16810.jpg,Is a pleural effusion present?,PRES,No
synpic16810.jpg,Is/Are there a Pleural effusion?,PRES,No
synpic33226.jpg,Is a pleural effusion present?,PRES,No
synpic33226.jpg,Is/Are there a pleural effusion?,PRES,No
synpic33226.jpg,Is there a pleural effusion?,PRES,No
synpic33226.jpg,Is/Are there a pleural effusion?,PRES,No
synpic31248.jpg,Is the heart size abnormal?,SIZE,No
synpic31248.jpg,Is/Are the heart size abnormal?,SIZE,No
synpic31248.jpg,Is the heart enlarged?,SIZE,No
synpic31248.jpg,Is/Are the heart enlarged? ,SIZE,No
synpic33226.jpg,What can be typically visualized in this plane?,OTHER,lungs 	bony thoracic cavit y	mediastinum and great vessels
synpic16810.jpg,Can you evaluate the kidneys 	bladde r	or ureters in this image?,PRES,No
synpic60423.jpg,Can you diagnose a pericardial effusion from this image?,OTHER,No
synpic60423.jpg,Is this image sufficient to diagnose pericardial effusion?,OTHER,No
synpic28378.jpg,Is there a pleural effusion present?,PRES,No
synpic28378.jpg,Is/Are there pleural effusion?,PRES,No
synpic28378.jpg,Is there a pleural effusion,PRES,No
synpic28378.jpg,Is/Are there pleural effusion?,PRES,No
synpic27402.jpg,Did this patient sustain physical damage?,OTHER,no
synpic27402.jpg,Do you suspect a physical injury?,OTHER,no
synpic44865.jpg,Can you see all of the ribs on the left side?,PRES,no
synpic44865.jpg,Can the left ribs be evaluated?,PRES,no
synpic31248.jpg,Can you appreciate a pleural effusion anywhere?,PRES,no
synpic31248.jpg,Is pleural effusion present?,PRES,no
synpic33226.jpg,Does the left humerus appear to be fractured?,PRES,No
synpic33226.jpg,Is/Are the humerus fractured?,PRES,No
synpic33226.jpg,Is there a fracture of the left humerus?,PRES,No
synpic33226.jpg,Are both lungs abnormally inflated?,ABN,no
synpic44865.jpg,Can a pleural effusion be appreciated on the right side?,PRES,no
synpic44865.jpg,Is/Are there a right pleural effusion?,PRES,no
synpic44865.jpg,Is there a right-sided pleural effusion?,PRES,no
synpic44865.jpg,Is/Are there a right pleural effusion?,PRES,no
synpic32962.jpg,Is/Are there hylar lymphadenopathy?,PRES,yes
synpic32962.jpg,Is/Are there hylar lymphadenopathy?,PRES,yes
synpic32962.jpg,Is/Are there a widened mediastinum?,SIZE,Yes
synpic32962.jpg,Is/Are there a widened mediastinum?,SIZE,Yes
synpic18651.jpg,Does this image show heart failure?,OTHER,yes
synpic18651.jpg,is this heart failure,OTHER,yes
synpic18651.jpg,Is/Are the heart enlarged?,SIZE,yes
synpic18651.jpg,Is/Are the heart enlarged?,SIZE,yes
synpic46976.jpg,is the heart enlarged?,SIZE,yes
synpic46976.jpg,Is/Are the heart enlarged?,SIZE,yes
synpic46976.jpg,Is there cardiomegaly?,SIZE,yes
synpic46976.jpg,Is/Are the heart enlarged?,SIZE,yes
synpic32962.jpg,Is this coronal plane?,PLANE,yes
synpic46539.jpg,Is/Are there a pleural effusion?,PRES,yes
synpic46539.jpg,Is/Are there a pleural effusion?,PRES,yes
synpic51872.jpg,Is there a lung mass?,PRES,yes
synpic51872.jpg,Is/Are there a lung mass?,PRES,yes
synpic51872.jpg,Is there a mass in the lung?,PRES,yes
synpic51872.jpg,Is/Are there a lung mass?,PRES,yes
synpic31259.jpg,Is/Are there a mass?,PRES,yes
synpic31259.jpg,Is/Are there a mass?,PRES,yes
synpic18651.jpg,What is abnormal in this image?,ABN,cardiomegaly with pulmonary edema
synpic18651.jpg,What is abnormal in this image?,ABN,cardiomegaly with pulmonary edema
synpic23989.jpg,does this constitute a pulmonary pathology?,ORGAN,yes
synpic46539.jpg,Is this lesion loculated,PRES,no
synpic46539.jpg,Is/Are the lesion loculated? -yes/no,PRES,no
synpic46539.jpg,Is there loculation of this lesion?,PRES,no
synpic46539.jpg,Is/Are the lesion loculated? -yes/no,PRES,no
synpic22037.jpg,Is this a standing CXR,MODALITY,no
synpic55464.jpg,what it causing the widening?,OTHER,mass
synpic55464.jpg,What is the widened mediastinum caused by?,OTHER,mass
synpic23989.jpg,is this an AP CXR,MODALITY,yes
synpic32962.jpg,What is the modality?,MODALITY,CXR
synpic22037.jpg,is the pulmonary system shown?,ORGAN,yes
synpic55464.jpg,Is the mediastinum widened?,SIZE,yes
synpic55464.jpg,Is/Are there a widened mediastinum?,SIZE,yes
synpic55464.jpg,Is there a widened mediastium?,SIZE,yes
synpic55464.jpg,Is/Are there a widened mediastinum?,SIZE,yes
synpic23989.jpg,What plane is demonstrated?,PLANE,Coronal
synpic51872.jpg,Where is/are the cavitary lesion located?,POS,Right upper lobe
synpic51872.jpg,Where is/are the cavitary lesion located?,POS,Right upper lobe
synpic46976.jpg,Is/Are there increased vascular markings? ,PRES,yes
synpic46976.jpg,Is/Are the vascular markings increased?,PRES,yes
synpic23989.jpg,What is the pathology?,ABN,Left Apical Pneumothorax
